model_id,dataset,retriever,condition,n,hits_hard,hhr,f1
Qwen2.5-3B,DB100K,structgpt,E7_incomplete_NS_SHACL,100,0.06,0.2308,0.1496
Qwen2.5-3B,YAGO3-10,onehop,E0_complete_baseline,100,0.58,0.8788,0.5719
Qwen2.5-3B,YAGO3-10,onehop,E1_incomplete_baseline,100,0.13,0.52,0.1698
Qwen2.5-3B,YAGO3-10,onehop,E2_incomplete_NS,100,0.14,0.56,0.1716
Qwen2.5-3B,YAGO3-10,onehop,E3_incomplete_noPCA,100,0.16,0.5926,0.1722
Qwen2.5-3B,YAGO3-10,onehop,E4_incomplete_random,100,0.16,0.5333,0.1834
Qwen2.5-3B,YAGO3-10,onehop,E5_complete_NS,100,0.57,0.8769,0.5573
Qwen2.5-3B,YAGO3-10,onehop,E6_incomplete_oracle,100,0.78,0.9873,0.6546
Qwen2.5-3B,YAGO3-10,onehop,E7_incomplete_NS_SHACL,100,0.14,0.56,0.1706
Qwen2.5-3B,YAGO3-10,tog,E0_complete_baseline,100,0.51,0.7969,0.5075
Qwen2.5-3B,YAGO3-10,tog,E1_incomplete_baseline,100,0.17,0.4146,0.2817
Qwen2.5-3B,YAGO3-10,tog,E2_incomplete_NS,100,0.15,0.3659,0.2768
Qwen2.5-3B,YAGO3-10,tog,E3_incomplete_noPCA,100,0.13,0.325,0.2579
Qwen2.5-3B,YAGO3-10,tog,E4_incomplete_random,100,0.12,0.3529,0.2398
Qwen2.5-3B,YAGO3-10,tog,E5_complete_NS,100,0.5,0.7937,0.5046
Qwen2.5-3B,YAGO3-10,tog,E6_incomplete_oracle,100,0.7,0.8642,0.6917
Qwen2.5-3B,YAGO3-10,tog,E7_incomplete_NS_SHACL,100,0.15,0.3659,0.2768
Qwen2.5-3B,YAGO3-10,pog,E0_complete_baseline,100,0.26,0.6842,0.2694
Qwen2.5-3B,YAGO3-10,pog,E1_incomplete_baseline,100,0.12,0.4444,0.1831
Qwen2.5-3B,YAGO3-10,pog,E2_incomplete_NS,100,0.11,0.4074,0.1808
Qwen2.5-3B,YAGO3-10,pog,E3_incomplete_noPCA,100,0.09,0.375,0.1417
Qwen2.5-3B,YAGO3-10,pog,E4_incomplete_random,100,0.14,0.56,0.1853
Qwen2.5-3B,YAGO3-10,pog,E5_complete_NS,100,0.25,0.6757,0.2669
Qwen2.5-3B,YAGO3-10,pog,E6_incomplete_oracle,100,0.64,0.9014,0.6208
Qwen2.5-3B,YAGO3-10,pog,E7_incomplete_NS_SHACL,100,0.13,0.4483,0.19
Qwen2.5-3B,YAGO3-10,structgpt,E0_complete_baseline,100,0.43,0.7679,0.4741
Qwen2.5-3B,YAGO3-10,structgpt,E1_incomplete_baseline,100,0.1,0.4,0.1961
Qwen2.5-3B,YAGO3-10,structgpt,E2_incomplete_NS,100,0.1,0.4,0.1921
Qwen2.5-3B,YAGO3-10,structgpt,E3_incomplete_noPCA,100,0.08,0.3077,0.1742
Qwen2.5-3B,YAGO3-10,structgpt,E4_incomplete_random,100,0.14,0.5,0.2245
Qwen2.5-3B,YAGO3-10,structgpt,E5_complete_NS,100,0.49,0.7778,0.5346
Qwen2.5-3B,YAGO3-10,structgpt,E6_incomplete_oracle,100,0.61,0.9242,0.5858
Qwen2.5-3B,YAGO3-10,structgpt,E7_incomplete_NS_SHACL,100,0.1,0.4,0.1921
Llama-3.1-8B,FrenchRoyalty,onehop,E0_complete_baseline,100,0.47,0.8704,0.3876
Llama-3.1-8B,FrenchRoyalty,onehop,E1_incomplete_baseline,100,0.15,0.4545,0.2088
Llama-3.1-8B,FrenchRoyalty,onehop,E2_incomplete_NS,100,0.28,0.6364,0.2783
Llama-3.1-8B,FrenchRoyalty,onehop,E3_incomplete_noPCA,100,0.28,0.5957,0.3005
Llama-3.1-8B,FrenchRoyalty,onehop,E4_incomplete_random,100,0.14,0.4375,0.1984
Llama-3.1-8B,FrenchRoyalty,onehop,E5_complete_NS,100,0.5,0.8475,0.4046
Llama-3.1-8B,FrenchRoyalty,onehop,E6_incomplete_oracle,100,0.69,0.9079,0.5318
Llama-3.1-8B,FrenchRoyalty,onehop,E7_incomplete_NS_SHACL,100,0.24,0.6,0.2544
Llama-3.1-8B,FrenchRoyalty,tog,E0_complete_baseline,100,0.43,0.8269,0.3578
Llama-3.1-8B,FrenchRoyalty,tog,E1_incomplete_baseline,100,0.08,0.32,0.1485
Llama-3.1-8B,FrenchRoyalty,tog,E2_incomplete_NS,100,0.21,0.6,0.2155
Llama-3.1-8B,FrenchRoyalty,tog,E3_incomplete_noPCA,100,0.21,0.6176,0.2243
Llama-3.1-8B,FrenchRoyalty,tog,E4_incomplete_random,100,0.11,0.44,0.1719
Llama-3.1-8B,FrenchRoyalty,tog,E5_complete_NS,100,0.48,0.8421,0.3802
Llama-3.1-8B,FrenchRoyalty,tog,E6_incomplete_oracle,100,0.6,0.9375,0.4486
Llama-3.1-8B,FrenchRoyalty,tog,E7_incomplete_NS_SHACL,100,0.22,0.55,0.2458
Llama-3.1-8B,FrenchRoyalty,pog,E0_complete_baseline,100,0.42,0.8235,0.3459
Llama-3.1-8B,FrenchRoyalty,pog,E1_incomplete_baseline,100,0.15,0.4545,0.1901
Llama-3.1-8B,FrenchRoyalty,pog,E2_incomplete_NS,100,0.22,0.5116,0.2476
Llama-3.1-8B,FrenchRoyalty,pog,E3_incomplete_noPCA,100,0.25,0.5319,0.276
Llama-3.1-8B,FrenchRoyalty,pog,E4_incomplete_random,100,0.08,0.32,0.1373
Llama-3.1-8B,FrenchRoyalty,pog,E5_complete_NS,100,0.48,0.8136,0.3978
Llama-3.1-8B,FrenchRoyalty,pog,E6_incomplete_oracle,100,0.67,0.9437,0.4773
Llama-3.1-8B,FrenchRoyalty,pog,E7_incomplete_NS_SHACL,100,0.24,0.5455,0.2567
Llama-3.1-8B,FrenchRoyalty,structgpt,E0_complete_baseline,100,0.41,0.8367,0.3766
Llama-3.1-8B,FrenchRoyalty,structgpt,E1_incomplete_baseline,100,0.06,0.25,0.1482
Llama-3.1-8B,FrenchRoyalty,structgpt,E2_incomplete_NS,100,0.18,0.5,0.2158
Llama-3.1-8B,FrenchRoyalty,structgpt,E3_incomplete_noPCA,100,0.17,0.4857,0.214
Llama-3.1-8B,FrenchRoyalty,structgpt,E4_incomplete_random,100,0.05,0.25,0.1266
Llama-3.1-8B,FrenchRoyalty,structgpt,E5_complete_NS,100,0.44,0.8302,0.3777
Llama-3.1-8B,FrenchRoyalty,structgpt,E6_incomplete_oracle,100,0.64,0.9412,0.473
Llama-3.1-8B,FrenchRoyalty,structgpt,E7_incomplete_NS_SHACL,100,0.24,0.6154,0.2364
Llama-3.1-8B,DB100K,onehop,E0_complete_baseline,100,0.57,0.8906,0.5055
Llama-3.1-8B,DB100K,onehop,E1_incomplete_baseline,100,0.16,0.3556,0.2923
Llama-3.1-8B,DB100K,onehop,E2_incomplete_NS,100,0.22,0.5116,0.3066
Llama-3.1-8B,DB100K,onehop,E3_incomplete_noPCA,100,0.24,0.5333,0.3131
Llama-3.1-8B,DB100K,onehop,E4_incomplete_random,100,0.19,0.4222,0.2999
Llama-3.1-8B,DB100K,onehop,E5_complete_NS,100,0.54,0.9153,0.4882
Llama-3.1-8B,DB100K,onehop,E6_incomplete_oracle,100,0.86,0.9451,0.6565
Llama-3.1-8B,DB100K,onehop,E7_incomplete_NS_SHACL,100,0.2,0.4545,0.2994
Llama-3.1-8B,DB100K,tog,E0_complete_baseline,100,0.64,0.8205,0.572
Llama-3.1-8B,DB100K,tog,E1_incomplete_baseline,100,0.1,0.2,0.274
Llama-3.1-8B,DB100K,tog,E2_incomplete_NS,100,0.16,0.3077,0.306
Llama-3.1-8B,DB100K,tog,E3_incomplete_noPCA,100,0.17,0.3333,0.3042
Llama-3.1-8B,DB100K,tog,E4_incomplete_random,100,0.08,0.16,0.2854
Llama-3.1-8B,DB100K,tog,E5_complete_NS,100,0.62,0.8267,0.5507
Llama-3.1-8B,DB100K,tog,E6_incomplete_oracle,100,0.87,0.9457,0.6777
Llama-3.1-8B,DB100K,tog,E7_incomplete_NS_SHACL,100,0.17,0.3269,0.3102
Llama-3.1-8B,DB100K,pog,E0_complete_baseline,100,0.48,0.7059,0.5037
Llama-3.1-8B,DB100K,pog,E1_incomplete_baseline,100,0.1,0.2439,0.2214
Llama-3.1-8B,DB100K,pog,E2_incomplete_NS,100,0.18,0.383,0.2889
Llama-3.1-8B,DB100K,pog,E3_incomplete_noPCA,100,0.21,0.4375,0.278
Llama-3.1-8B,DB100K,pog,E4_incomplete_random,100,0.1,0.2439,0.2146
Llama-3.1-8B,DB100K,pog,E5_complete_NS,100,0.49,0.7656,0.4754
Llama-3.1-8B,DB100K,pog,E6_incomplete_oracle,100,0.82,0.8817,0.616
Llama-3.1-8B,DB100K,pog,E7_incomplete_NS_SHACL,100,0.22,0.449,0.2864
Llama-3.1-8B,DB100K,structgpt,E0_complete_baseline,100,0.49,0.8596,0.4408
Llama-3.1-8B,DB100K,structgpt,E1_incomplete_baseline,100,0.09,0.2308,0.2382
Llama-3.1-8B,DB100K,structgpt,E2_incomplete_NS,100,0.18,0.3913,0.3063
Llama-3.1-8B,DB100K,structgpt,E3_incomplete_noPCA,100,0.17,0.3778,0.2759
Llama-3.1-8B,DB100K,structgpt,E4_incomplete_random,100,0.11,0.275,0.2409
Llama-3.1-8B,DB100K,structgpt,E5_complete_NS,100,0.55,0.8462,0.4679
Llama-3.1-8B,DB100K,structgpt,E6_incomplete_oracle,100,0.77,0.8851,0.5966
Llama-3.1-8B,DB100K,structgpt,E7_incomplete_NS_SHACL,100,0.15,0.3409,0.2777
Llama-3.1-8B,YAGO3-10,onehop,E0_complete_baseline,100,0.47,0.8545,0.3619
Llama-3.1-8B,YAGO3-10,onehop,E1_incomplete_baseline,100,0.19,0.5278,0.2013
Llama-3.1-8B,YAGO3-10,onehop,E2_incomplete_NS,100,0.19,0.5135,0.209
Llama-3.1-8B,YAGO3-10,onehop,E3_incomplete_noPCA,100,0.21,0.5385,0.2125
Llama-3.1-8B,YAGO3-10,onehop,E4_incomplete_random,100,0.1,0.4,0.1488
Llama-3.1-8B,YAGO3-10,onehop,E5_complete_NS,100,0.46,0.8519,0.3592
Llama-3.1-8B,YAGO3-10,onehop,E6_incomplete_oracle,100,0.84,0.9655,0.543
Llama-3.1-8B,YAGO3-10,onehop,E7_incomplete_NS_SHACL,100,0.17,0.4857,0.1971
Llama-3.1-8B,YAGO3-10,tog,E0_complete_baseline,100,0.39,0.7647,0.3344
Llama-3.1-8B,YAGO3-10,tog,E1_incomplete_baseline,100,0.17,0.425,0.2388
Llama-3.1-8B,YAGO3-10,tog,E2_incomplete_NS,100,0.17,0.425,0.2411
Llama-3.1-8B,YAGO3-10,tog,E3_incomplete_noPCA,100,0.17,0.4359,0.2367
Llama-3.1-8B,YAGO3-10,tog,E4_incomplete_random,100,0.17,0.4474,0.2356
Llama-3.1-8B,YAGO3-10,tog,E5_complete_NS,100,0.36,0.7347,0.3147
Llama-3.1-8B,YAGO3-10,tog,E6_incomplete_oracle,100,0.7,0.8974,0.51
Llama-3.1-8B,YAGO3-10,tog,E7_incomplete_NS_SHACL,100,0.17,0.4359,0.2311
Llama-3.1-8B,YAGO3-10,pog,E0_complete_baseline,100,0.23,0.6053,0.2268
Llama-3.1-8B,YAGO3-10,pog,E1_incomplete_baseline,100,0.08,0.2857,0.1554
Llama-3.1-8B,YAGO3-10,pog,E2_incomplete_NS,100,0.09,0.3103,0.1594
Llama-3.1-8B,YAGO3-10,pog,E3_incomplete_noPCA,100,0.11,0.3548,0.1802
Llama-3.1-8B,YAGO3-10,pog,E4_incomplete_random,100,0.08,0.2963,0.1562
Llama-3.1-8B,YAGO3-10,pog,E5_complete_NS,100,0.23,0.6053,0.2301
Llama-3.1-8B,YAGO3-10,pog,E6_incomplete_oracle,100,0.74,0.9737,0.4599
Llama-3.1-8B,YAGO3-10,pog,E7_incomplete_NS_SHACL,100,0.07,0.2593,0.1478
Llama-3.1-8B,YAGO3-10,structgpt,E0_complete_baseline,100,0.35,0.7447,0.3251
Llama-3.1-8B,YAGO3-10,structgpt,E1_incomplete_baseline,100,0.08,0.2424,0.197
Llama-3.1-8B,YAGO3-10,structgpt,E2_incomplete_NS,100,0.09,0.2647,0.2061
Llama-3.1-8B,YAGO3-10,structgpt,E3_incomplete_noPCA,100,0.12,0.3243,0.236
Llama-3.1-8B,YAGO3-10,structgpt,E4_incomplete_random,100,0.06,0.2,0.1795
Llama-3.1-8B,YAGO3-10,structgpt,E5_complete_NS,100,0.37,0.7551,0.3264
Llama-3.1-8B,YAGO3-10,structgpt,E6_incomplete_oracle,100,0.74,0.925,0.5189
Llama-3.1-8B,YAGO3-10,structgpt,E7_incomplete_NS_SHACL,100,0.06,0.1875,0.1885
